Collar,Rep,datetime,FCH4,r2,ts_2,SWC
99,2,12/19/2019 14:15,-0.02766,0.06215,5,0
99,2,12/19/2019 14:17,-0.08814,0.33556,4.87727,0
98,2,11/20/2019 10:57,-0.03597,0.10798,11.5,0.099
98,2,11/20/2019 10:58,0.03396,0.12188,11.5,0.068
97,2,11/4/2019 12:27,0,0,17.5,-0.045
97,2,11/4/2019 12:29,-0.35559,0.88329,17.5,0.196
97,2,12/19/2019 14:29,-0.63896,0.96273,5.26364,0
97,2,12/19/2019 14:30,0,0,5.1,0
94,2,6/7/2019 11:09,-9999,-9999,21.7,0.361
94,2,6/7/2019 11:10,-9999,-9999,21.5,0.361
89,2,11/6/2019 11:25,3.53244,0.99298,12.3,0
89,2,11/6/2019 11:26,3.09458,0.99196,12.4,0.077
88,2,9/19/2019 14:06,-9999,-9999,21.5,0.02055
88,2,9/19/2019 14:08,-9999,-9999,21.5,0.114
81,2,6/14/2019 11:15,-9999,-9999,18.4,0.429
81,2,6/14/2019 11:17,-9999,-9999,18.4,0.429
81,2,9/18/2019 11:24,-9999,-9999,22.4,0.081
81,2,9/18/2019 11:26,-9999,-9999,22.4,0.081
75,2,9/20/2019 13:06,-9999,-9999,24.2,0.406
75,2,9/20/2019 13:07,-9999,-9999,23.95455,0.405
71,2,11/6/2019 11:03,5.90647,0.9968,12,0.072
71,2,11/6/2019 11:04,5.15277,0.99727,12.1,0.096
6,2,11/20/2019 14:15,-0.45398,0.94196,15.2,0.032
6,2,11/20/2019 14:16,-0.40397,0.93699,15.2,0.03
64,2,9/18/2019 8:13,-9999,-9999,21.1,0.165
64,2,9/18/2019 8:15,-9999,-9999,21.3,0.165
61,2,9/18/2019 9:24,-9999,-9999,20.7,0.071
61,2,9/18/2019 9:25,-9999,-9999,20.9,0.071
61,2,11/18/2019 14:29,-0.22145,0.81968,11.3,0
61,2,11/18/2019 14:31,-0.18927,0.77487,11.3,0
60,2,6/14/2019 14:00,-9999,-9999,19.7,0.08055
60,2,6/14/2019 14:01,-9999,-9999,19.7,0.443
58,2,6/14/2019 14:11,-9999,-9999,19.72727,-0.05345
58,2,6/14/2019 14:12,-9999,-9999,19.5,0.469
55,2,9/19/2019 12:58,-9999,-9999,20.3,0.113
55,2,9/19/2019 13:00,-9999,-9999,20.1,0.115
54,2,6/14/2019 13:20,-9999,-9999,18.9,-0.08064
54,2,6/14/2019 13:21,-9999,-9999,18.9,0.376
54,2,9/19/2019 13:50,-9999,-9999,20.87273,-0.01691
54,2,9/19/2019 13:52,-9999,-9999,21.1,0.119
54,2,11/6/2019 15:53,-2.54109,0.99475,12.4,0
54,2,11/6/2019 15:54,-2.33814,0.99504,12.4,0.027
51,2,9/18/2019 9:15,-9999,-9999,20.7,0.779
51,2,9/18/2019 9:17,-9999,-9999,20.7,0.95
50,2,9/18/2019 8:02,-9999,-9999,20.9,0.414
50,2,9/18/2019 8:04,-9999,-9999,20.7,0.454
49,2,9/18/2019 9:02,-9999,-9999,21.3,0
49,2,9/18/2019 9:04,-9999,-9999,21.1,0.95
42,2,6/14/2019 13:36,-9999,-9999,18.9,0
42,2,6/14/2019 13:38,-9999,-9999,19.5,0.496
42,2,11/6/2019 15:40,-2.08273,0.99094,12.4,0.009
42,2,11/6/2019 15:41,-2.18007,0.9971,12.4,0.006
3,2,6/12/2019 11:04,-9999,-9999,19.85455,-0.1075
3,2,6/12/2019 11:06,-9999,-9999,20.1,0.475
3,3,6/12/2019 11:00,-9999,-9999,19.9,0
3,3,6/12/2019 11:02,-9999,-9999,19.9,0
3,2,11/18/2019 14:21,-1.22609,0.97969,11.7,0
3,2,11/18/2019 14:23,-1.08741,0.98312,11.6,0
39,2,9/18/2019 11:28,-9999,-9999,22.4,0
39,2,9/18/2019 11:30,-9999,-9999,22.4,0.143
36,2,11/4/2019 14:45,-0.12682,0.69113,16.74545,-0.07023
36,2,11/4/2019 14:47,-0.14189,0.79785,16.5,0.314
34,2,11/4/2019 15:36,-0.20123,0.85119,14.7,0
34,2,11/4/2019 15:37,-0.28292,0.94835,14.7,0.158
33,2,9/20/2019 12:58,-9999,-9999,23.9,0.012
33,2,9/20/2019 12:59,-9999,-9999,24.2,0.012
31,2,11/18/2019 14:26,-1.12329,0.97718,11.5,0
31,2,11/18/2019 14:27,-0.89075,0.98119,11.3,0
30,2,6/12/2019 12:22,-9999,-9999,20.5,-0.09477
30,2,6/12/2019 12:24,-9999,-9999,20.5,0.417
30,2,9/18/2019 9:57,-9999,-9999,23.3,0.23877
30,2,9/18/2019 9:58,-9999,-9999,23.3,0.24
29,2,12/20/2019 12:42,0.06399,0.2462,6.05455,0
29,2,12/20/2019 12:44,0.13643,0.61813,5,0
27,2,11/20/2019 11:01,-0.02181,0.03788,11.3,0.073
27,2,11/20/2019 11:02,-0.01068,0.00904,11.3,0.07541
23,2,12/19/2019 14:39,-0.21742,0.80685,4.7,0
23,2,12/19/2019 14:40,0,0,4.7,0
21,2,12/19/2019 14:51,-0.56217,0.97677,4.3,0
21,2,12/19/2019 14:52,0,0,4.3,0
20,2,6/12/2019 11:27,-9999,-9999,19.9,0.415
20,2,6/12/2019 11:29,-9999,-9999,19.9,0.415
15,2,11/20/2019 15:09,-0.11013,0.48761,12.1,0
15,2,11/20/2019 15:11,0.15441,0.60121,12.1,0.043
14,2,6/7/2019 11:17,-9999,-9999,21.5,0.24
14,2,6/7/2019 11:19,-9999,-9999,21.5,0.24
13,2,6/7/2019 11:26,-9999,-9999,21.3,0
13,2,6/7/2019 11:28,-9999,-9999,21.3,0.457
121,2,6/7/2019 14:03,-9999,-9999,23.7,0.238
121,2,6/7/2019 14:04,-9999,-9999,23.7,0.238
121,2,12/19/2019 15:18,-1.05898,0.98098,3,0
121,2,12/19/2019 15:19,-1.25464,0.98766,2.9,0
118,2,6/7/2019 14:35,-9999,-9999,22.85455,0.22273
118,2,6/7/2019 14:36,-9999,-9999,22.6,0.227
116,2,12/19/2019 11:50,-0.75485,0.98425,6.5,0
116,2,12/19/2019 11:51,-0.93162,0.98235,6.2,0
116,3,12/19/2019 11:46,-0.83457,0.98323,7.3,0.012
116,3,12/19/2019 11:48,0,0,7,0.01
115,2,6/7/2019 9:56,-9999,-9999,22.6,0.252
115,2,6/7/2019 9:57,-9999,-9999,21.9,0.256
111,2,6/7/2019 10:13,-9999,-9999,21.9,0
111,2,6/7/2019 10:14,-9999,-9999,22.1,0.204
111,2,9/20/2019 14:07,-9999,-9999,24.7,0.081
111,2,9/20/2019 14:09,-9999,-9999,24.4,0.215
108,2,6/14/2019 13:24,-9999,-9999,18.9,0.491
108,2,6/14/2019 13:25,-9999,-9999,18.9,0.494
124,,6/7/2019 14:07,-9999,-9999,23.3,0
124,,6/7/2019 14:09,-9999,-9999,23,0.274
124,,9/25/2019 10:53,-9999,-9999,22.4,0.008
124,,9/25/2019 10:55,-9999,-9999,22.4,0.014
124,,11/4/2019 13:20,-2.14126,0.99702,15.7,0
124,,11/4/2019 13:22,-2.05635,0.99818,15.7,0.173
124,,11/20/2019 12:49,-2.08276,0.99488,12.4,0.008
124,,11/20/2019 12:51,0,0,12.4,0.006
124,,12/19/2019 15:21,-1.54507,0.99523,2.9,0
124,,12/19/2019 15:22,-1.76817,0.98557,2.9,0
123,,6/7/2019 14:16,-9999,-9999,22.6,0.275
123,,6/7/2019 14:18,-9999,-9999,22.8,0.27618
123,,9/25/2019 10:45,-9999,-9999,22.4,0.089
123,,9/25/2019 10:47,-9999,-9999,22.4,0.09105
123,,11/4/2019 13:12,-2.55649,0.99776,15.4,0.141
123,,11/4/2019 13:14,-2.50955,0.99766,15.2,0.142
123,,11/20/2019 12:41,-3.90587,0.9878,12.4,-0.00191
123,,11/20/2019 12:43,-3.26642,0.99806,12.4,0.007
123,,12/19/2019 15:28,-1.71378,0.98895,2.9,0
123,,12/19/2019 15:29,-1.75895,0.99028,2.9,0
122,,6/7/2019 14:12,-9999,-9999,22.8,0.244
122,,6/7/2019 14:13,-9999,-9999,22.8,0.244
122,,9/25/2019 10:49,-9999,-9999,22.4,0.015
122,,9/25/2019 10:51,-9999,-9999,22.4,0.015
122,,11/4/2019 13:16,-3.69783,0.99747,15,0.201
122,,11/4/2019 13:18,-3.34783,0.99571,15.2,0.202
122,,11/20/2019 12:45,-4.26171,0.98497,12.4,-0.00164
122,,11/20/2019 12:47,-3.51584,0.99711,12.4,0.008
122,,12/19/2019 15:24,-3.23833,0.98072,3,0
122,,12/19/2019 15:26,-2.64503,0.99155,2.9,0
121,,6/7/2019 14:00,-9999,-9999,24.7,0.237
121,,9/25/2019 10:58,-9999,-9999,22.4,0.024
121,,9/25/2019 11:00,-9999,-9999,22.6,0.026
121,,11/4/2019 13:24,-1.35557,0.99526,15.7,0.04127
121,,11/4/2019 13:26,-1.44163,0.98674,15.5,0.23
121,,11/20/2019 12:53,-1.53095,0.98552,12.4,0
121,,11/20/2019 12:54,-1.22451,0.98979,12.4,0
121,,12/19/2019 15:15,-0.92006,0.9882,3.4,0
121,,12/19/2019 15:16,0,0,3.1,0
120,,6/7/2019 14:21,-9999,-9999,22.8,0
120,,6/7/2019 14:23,-9999,-9999,22.8,0.212
120,,9/25/2019 10:41,-9999,-9999,22.4,0.02473
120,,9/25/2019 10:42,-9999,-9999,22.4,0.04
120,,11/4/2019 13:04,-1.58198,0.99333,15.8,0
120,,11/4/2019 13:06,-1.50811,0.98918,15.8,0.182
120,,11/20/2019 12:28,-1.45914,0.98424,12.7,0
120,,11/20/2019 12:29,-1.84304,0.99499,12.7,0.006
120,,12/19/2019 15:05,-1.85174,0.98831,4,0
120,,12/19/2019 15:06,-1.56288,0.99166,3.9,0
119,,6/7/2019 14:30,-9999,-9999,22.8,0.168
119,,6/7/2019 14:32,-9999,-9999,22.8,0.169
119,,9/25/2019 10:33,-9999,-9999,22.1,0
119,,9/25/2019 10:35,-9999,-9999,22.4,0
119,,11/4/2019 12:57,-3.46149,0.99615,16.5,0.213
119,,11/4/2019 12:58,-3.31815,0.99779,16.3,0.211
119,,11/20/2019 12:33,-3.5857,0.99733,12.7,0.004
119,,11/20/2019 12:35,-3.20924,0.99583,12.6,0.004
119,,12/19/2019 15:02,-1.80654,0.98673,4.3,0
119,,12/19/2019 15:03,-2.18326,0.99112,4.1,0
118,,6/7/2019 14:26,-9999,-9999,22.8,0.236
118,,6/7/2019 14:27,-9999,-9999,22.8,0.235
118,,9/25/2019 10:29,-9999,-9999,22.1,0.026
118,,9/25/2019 10:31,-9999,-9999,22.1,0.029
118,,11/4/2019 13:08,-1.48705,0.99358,15.56364,0.15136
118,,11/4/2019 13:10,-1.63871,0.99421,15.5,0.223
118,,11/20/2019 12:37,-1.54346,0.99526,12.4,0
118,,11/20/2019 12:38,-1.37237,0.99337,12.4,0.015
118,,12/19/2019 15:11,-1.21559,0.98977,3.6,0
118,,12/19/2019 15:13,0,0,3.5,0
117,,9/25/2019 10:37,-9999,-9999,22.4,0.027
117,,9/25/2019 10:39,-9999,-9999,22.34545,0.028
117,,11/4/2019 13:00,-1.61563,0.99388,15.8,0.214
117,,11/4/2019 13:02,-1.64135,0.99067,15.8,0.195
117,,11/20/2019 12:24,-1.61447,0.99423,13.1,0
117,,11/20/2019 12:26,-1.95529,0.97971,13,0.109
117,,12/19/2019 15:08,-1.44171,0.97936,3.8,0
117,,12/19/2019 15:10,-1.38576,0.99249,3.7,0
116,,6/7/2019 9:46,-9999,-9999,22.6,0.236
116,,6/7/2019 9:47,-9999,-9999,22.4,0.235
116,,9/20/2019 14:22,-9999,-9999,23.5,0.182
116,,9/20/2019 14:24,-9999,-9999,23.3,0.193
116,,11/4/2019 16:22,-1.09329,0.97814,13.5,0
116,,11/4/2019 16:24,-1.39455,0.99166,13.5,0.183
116,,11/20/2019 15:53,-1.66449,0.97692,11.2,0
116,,11/20/2019 15:55,-1.29126,0.97182,11.2,0
115,,6/7/2019 9:51,-9999,-9999,22.4,0
115,,6/7/2019 9:53,-9999,-9999,22.4,0
115,,9/20/2019 14:34,-9999,-9999,23,0.139
115,,9/20/2019 14:36,-9999,-9999,23,0.139
115,,11/4/2019 16:18,-1.15685,0.98674,13.7,0.176
115,,11/4/2019 16:20,-1.43159,0.99022,13.5,0.18
115,,11/20/2019 16:11,-1.91455,0.99093,11,0
115,,11/20/2019 16:13,-1.68632,0.98844,11,0
115,,12/19/2019 11:35,-1.57714,0.98935,13.4,0
115,,12/19/2019 11:36,-1.37633,0.98956,12.7,0.206
114,,6/7/2019 10:00,-9999,-9999,21.9,0
114,,6/7/2019 10:01,-9999,-9999,21.9,0.253
114,,9/20/2019 14:26,-9999,-9999,23.3,0.153
114,,9/20/2019 14:28,-9999,-9999,23.3,0.151
114,,11/4/2019 16:11,-1.22992,0.99257,13.8,0.221
114,,11/4/2019 16:13,-1.45855,0.99191,13.7,0.225
114,,11/20/2019 16:03,-1.44577,0.98622,11.1,0
114,,11/20/2019 16:05,-1.41369,0.98281,11,0
114,,12/19/2019 11:41,-0.6486,0.92856,9,0.035
114,,12/19/2019 11:43,-0.88919,0.98482,8.5,0.02
113,,6/7/2019 10:04,-9999,-9999,21.9,0.387
113,,6/7/2019 10:06,-9999,-9999,21.7,0.387
113,,9/20/2019 14:30,-9999,-9999,23,0.087
113,,9/20/2019 14:32,-9999,-9999,23,0.184
113,,11/4/2019 16:15,-0.3872,0.94004,13.7,0.01
113,,11/4/2019 16:16,-0.52682,0.96923,13.7,0.17732
113,,11/20/2019 16:07,-0.7714,0.9645,11,0
113,,11/20/2019 16:09,-0.78251,0.96284,11,0
113,,12/19/2019 11:38,0,0,11.5,0
113,,12/19/2019 11:39,-0.85841,0.97151,10.1,0.063
112,,6/7/2019 10:22,-9999,-9999,21.9,0
112,,6/7/2019 10:24,-9999,-9999,21.9,0.235
112,,9/20/2019 14:11,-9999,-9999,24.2,0.176
112,,9/20/2019 14:12,-9999,-9999,23.9,0.174
112,,11/4/2019 15:59,-1.83001,0.99272,14.56364,0.16255
112,,11/4/2019 16:01,-1.89764,0.99467,14.4,0.232
112,,11/20/2019 15:41,-3.84376,0.98273,11.6,0.002
112,,11/20/2019 15:43,-3.35547,0.99321,11.6,0.002
112,,12/19/2019 11:54,-2.59409,0.99618,6.1,0
112,,12/19/2019 11:55,0,0,6,0
111,,6/7/2019 10:11,-9999,-9999,21.9,0
111,,9/20/2019 14:04,-9999,-9999,24.7,0.074
111,,9/20/2019 14:05,-9999,-9999,24.7,0.082
111,,11/4/2019 16:07,-2.87013,0.99329,14,0.158
111,,11/4/2019 16:08,-3.01733,0.9943,14,0.163
111,,11/20/2019 15:49,-4.06064,0.99326,11.5,0
111,,11/20/2019 15:51,-3.43,0.98838,11.3,0
111,,12/19/2019 12:01,-2.78339,0.99631,5.7,0
111,,12/19/2019 12:02,-2.43522,0.99749,5.5,0
110,,6/7/2019 10:18,-9999,-9999,22.1,0
110,,6/7/2019 10:19,-9999,-9999,21.9,0.277
110,,9/20/2019 14:18,-9999,-9999,23.7,0.105
110,,9/20/2019 14:19,-9999,-9999,23.5,0.17
110,,11/4/2019 16:03,0,0,14.3,0.011
110,,11/4/2019 16:05,-1.12614,0.98392,14.1,0.17
110,,11/20/2019 15:45,-3.00556,0.95817,11.6,0
110,,11/20/2019 15:47,-2.48595,0.97701,11.5,0
109,,6/7/2019 10:27,-9999,-9999,21.9,0.282
109,,6/7/2019 10:29,-9999,-9999,21.9,0.284
109,,9/20/2019 14:14,-9999,-9999,23.81818,0.18464
109,,9/20/2019 14:16,-9999,-9999,23.7,0.191
109,,11/4/2019 15:56,0,0,14.7,0.049
109,,11/4/2019 15:57,0,0,14.6,0.15
109,,11/20/2019 15:37,-3.1192,0.99056,11.71364,-0.00055
109,,11/20/2019 15:39,-2.42547,0.99652,11.6,0.004
109,,12/19/2019 11:57,-1.26501,0.97406,6.1,0
109,,12/19/2019 11:58,0,0,5.98182,0
108,,11/6/2019 15:47,-1.78888,0.97896,12.4,0.023
108,,11/6/2019 15:49,-1.34334,0.98968,12.4,0.024
108,,11/21/2019 14:05,-1.27149,0.98864,11,0.01
108,,11/21/2019 14:06,-1.27497,0.98777,10.8,0.008
108,,12/20/2019 10:17,-0.61174,0.97349,0.6,0
108,,12/20/2019 10:19,-0.64258,0.97295,0.6,0
107,,6/14/2019 13:48,-9999,-9999,19.5,0.398
107,,6/14/2019 13:50,-9999,-9999,19.7,0.404
107,,11/6/2019 15:21,-0.8549,0.9725,12.8,0
107,,11/6/2019 15:22,-0.82909,0.98304,12.8,0.03
107,,11/21/2019 13:42,-0.55553,0.94023,11.1,0
107,,11/21/2019 13:44,-0.68647,0.97008,11.2,0.009
107,,12/20/2019 10:38,-0.19979,0.77712,0.4,0
107,,12/20/2019 10:40,-0.31263,0.89419,0.4,0
106,,6/14/2019 13:03,-9999,-9999,18.8,0.459
106,,6/14/2019 13:05,-9999,-9999,18.8,0.459
106,,11/6/2019 14:43,-1.19818,0.98616,13.1,0.018
106,,11/6/2019 14:44,-1.15244,0.99149,13.1,0.01745
106,,11/21/2019 13:00,-1.15293,0.98473,11.1,-0.00114
106,,11/21/2019 13:02,-1.06748,0.98618,11.1,0.007
106,,12/20/2019 9:45,-0.47218,0.95817,7.7,0
106,,12/20/2019 9:47,-0.61012,0.97815,6.5,0.016
105,,6/14/2019 14:19,-9999,-9999,19.3,0
105,,6/14/2019 14:21,-9999,-9999,19.43636,0.456
105,,11/6/2019 15:03,-1.85233,0.99323,12.8,0
105,,11/6/2019 15:04,-1.70213,0.99624,12.8,0.02323
105,,11/21/2019 13:22,-1.08558,0.97905,11,0.004
105,,11/21/2019 13:24,-1.13325,0.9814,10.8,0.004
105,,12/20/2019 10:03,-0.59602,0.96414,1.71364,0
105,,12/20/2019 10:05,-0.81978,0.99062,1.4,0
104,,6/14/2019 11:40,-9999,-9999,17.7,0.511
104,,6/14/2019 11:42,-9999,-9999,17.7,0.511
104,,11/6/2019 14:17,-1.90479,0.99386,13.3,0.022
104,,11/6/2019 14:18,-1.54118,0.98856,13.5,0.029
104,,11/21/2019 12:40,-2.05315,0.97995,11.1,0
104,,11/21/2019 12:41,-1.67937,0.98496,11.1,0
103,,6/14/2019 10:18,-9999,-9999,18,0
103,,6/14/2019 10:19,-9999,-9999,17.9,0.436
103,,11/6/2019 13:38,-1.71311,0.98869,13.1,0.047
103,,11/6/2019 13:39,-1.62069,0.99323,13.1,0.048
103,,11/21/2019 12:01,-1.29643,0.98434,12.8,0.008
103,,11/21/2019 12:03,-1.31924,0.96576,12.6,0.008
102,,6/14/2019 10:27,-9999,-9999,17.9,0
102,,6/14/2019 10:28,-9999,-9999,17.7,0.435
102,,11/6/2019 13:53,-2.47889,0.97972,12.7,0
102,,11/6/2019 13:55,-1.94053,0.99372,12.6,0.022
102,,11/21/2019 12:16,-1.55655,0.98648,11.1,0
102,,11/21/2019 12:18,-1.42838,0.9882,11.1,0.009
101,,6/14/2019 10:45,-9999,-9999,17.9,0.398
101,,6/14/2019 10:47,-9999,-9999,17.9,0.40336
101,,11/6/2019 13:10,-9999,-9999,13.4,0
101,,11/6/2019 13:11,-9999,-9999,13.4,0.02605
101,,11/18/2019 14:44,-2.12465,0.97554,10.6,0.011
101,,11/18/2019 14:45,-1.58574,0.99203,10.65455,0.011
100,,11/4/2019 11:55,-0.0858,0.3324,18.4,0.378
100,,11/4/2019 11:56,-0.08937,0.36917,18.2,0.382
100,,11/20/2019 11:26,-0.02243,0.03952,11.5,0.019
100,,11/20/2019 11:27,-0.01324,0.00991,11.48636,0.019
100,,12/19/2019 14:03,-0.08831,0.30299,5.18636,0
100,,12/19/2019 14:04,0,0,5.3,0
99,,11/4/2019 11:50,0.22167,0.82138,18.4,0.287
99,,11/4/2019 11:52,0.13181,0.55475,18.4,0.288
99,,11/20/2019 11:21,0.35525,0.87344,11.5,0.019
99,,11/20/2019 11:23,0.33216,0.8581,11.5,0.016
99,,12/19/2019 14:13,-0.07893,0.26367,5.1,0
99,,12/19/2019 14:14,-0.05881,0.17977,5.1,0
98,,11/4/2019 11:29,-0.09292,0.45979,18.8,0.674
98,,11/4/2019 11:31,-0.03388,0.11082,18.8,0.633
98,,11/20/2019 10:37,-9999,-9999,13.1,0.484
98,,11/20/2019 10:38,-9999,-9999,12.82273,0.54768
97,,11/4/2019 12:22,-0.41861,0.91893,17.5,0
97,,11/4/2019 12:24,-0.3343,0.89046,17.5,0
97,,11/20/2019 11:52,-0.24236,0.75451,13,0.199
97,,11/20/2019 11:53,-0.27136,0.88113,13,0.198
97,,12/19/2019 13:49,-0.13191,0.65964,5.5,0.002
97,,12/19/2019 13:51,-0.12836,0.52259,5.4,0.002
96,,6/7/2019 11:45,-9999,-9999,21.9,0
96,,6/7/2019 11:46,-9999,-9999,21.9,0.301
96,,11/4/2019 15:29,-0.00727,0.00765,15.22727,0.18577
96,,11/4/2019 15:31,0.02504,0.09082,15,0.298
96,,11/20/2019 15:13,-0.03116,0.08422,12.1,0
96,,11/20/2019 15:14,0.14299,0.63717,12,0.004
96,,12/19/2019 12:54,-0.00621,0.00357,7.1,0
96,,12/19/2019 12:55,-0.08303,0.24456,6.9,0
95,,6/7/2019 12:03,-9999,-9999,22.4,0.198
95,,6/7/2019 12:05,-9999,-9999,22.6,0.197
95,,11/4/2019 15:47,-1.77218,0.99027,14.7,0.148
95,,11/4/2019 15:49,-1.71725,0.98411,14.7,0.154
95,,11/20/2019 15:29,-2.46884,0.99441,11.7,0.01891
95,,11/20/2019 15:30,-1.83242,0.99037,11.7,0.005
95,,12/19/2019 13:09,-0.93322,0.97482,5.7,0
95,,12/19/2019 13:10,-1.16526,0.99252,5.7,0
94,,6/7/2019 11:04,-9999,-9999,21.9,-0.08205
94,,6/7/2019 11:06,-9999,-9999,21.9,0.361
94,,11/4/2019 15:01,-0.06904,0.42334,15.5,0
94,,11/4/2019 15:02,-0.11162,0.64069,15.7,0.228
94,,11/20/2019 14:43,0.00116,0.00017,13.7,0.046
94,,11/20/2019 14:44,-0.10254,0.59061,13.5,0.047
94,,12/19/2019 12:29,-0.07592,0.34431,7.4,0
94,,12/19/2019 12:30,-0.12944,0.54767,7.5,0
93,,6/7/2019 10:37,-9999,-9999,22.1,0.192
93,,6/7/2019 10:39,-9999,-9999,22.1,0.19
93,,11/4/2019 14:35,0.11885,0.44529,17.9,0
93,,11/4/2019 14:36,0.16337,0.77616,17.7,0.229
93,,11/20/2019 14:19,0.15887,0.656,15.15455,-0.01841
93,,11/20/2019 14:21,-0.12177,0.02293,15.2,0.093
93,,12/19/2019 12:08,-0.00358,0.00148,5.6,0
93,,12/19/2019 12:10,0.01804,0.06916,5.5,0
92,,6/12/2019 12:09,-9999,-9999,19.9,0.536
92,,6/12/2019 12:11,-9999,-9999,19.9,0.536
92,,11/6/2019 10:55,-0.25449,0.84775,12,0.082
92,,11/6/2019 10:56,-0.26054,0.811,12,0.079
92,,11/18/2019 11:06,-0.32481,0.83584,10.1,0.005
92,,11/18/2019 11:08,-0.25645,0.80401,9.85455,0.00064
92,,12/20/2019 13:09,-0.81675,0.97292,2.9,0
92,,12/20/2019 13:11,-0.62938,0.98817,2.9,0
91,,6/12/2019 12:36,-9999,-9999,20.7,0.001
91,,6/12/2019 12:37,-9999,-9999,20.9,0.527
91,,11/6/2019 10:42,1.48008,0.96871,12.1,0.099
91,,11/6/2019 10:43,1.01762,0.98318,12.1,0.106
91,,11/18/2019 10:58,0.9905,0.98278,10.2,0.022
91,,11/18/2019 10:59,1.07295,0.98833,10.1,0.022
91,,12/20/2019 12:49,0.70283,0.96894,4,0
91,,12/20/2019 12:51,0.80315,0.97849,3.8,0
90,,6/12/2019 12:50,-9999,-9999,20.9,0.41709
90,,6/12/2019 12:52,-9999,-9999,20.9,0.585
90,,11/6/2019 10:05,0.07575,0.24303,12.1,0.582
90,,11/6/2019 10:07,0.08577,0.38968,11.9,0.525
90,,11/18/2019 10:33,0.09906,0.42408,11.02727,0.03255
90,,11/18/2019 10:34,0.0431,0.11673,10.7,0.028
90,,12/20/2019 12:37,0.17406,0.73236,7.3,0
90,,12/20/2019 12:38,0.25911,0.82631,7,0
89,,6/12/2019 11:16,-9999,-9999,19.7,0.666
89,,6/12/2019 11:18,-9999,-9999,19.5,0.66
89,,11/18/2019 11:40,1.96252,0.98924,10.4,0.022
89,,11/18/2019 11:41,1.68138,0.9942,10.4,0.025
89,,12/20/2019 14:01,0.24958,0.87312,2.4,0
89,,12/20/2019 14:03,0.33885,0.9413,2.5,0
88,,6/14/2019 15:04,-9999,-9999,19.9,0.064
88,,6/14/2019 15:06,-9999,-9999,20.1,0.061
88,,11/6/2019 14:47,-1.44802,0.95924,13,0.031
88,,11/6/2019 14:48,-1.34447,0.97408,13,0.032
