Collar,Salinity_Transect,Elevation_Transect,Treatment,Home_Salinity,Home_Elevation,Local_Salinity,Local_Elevation,Depth,TotalN,TotalC,CtoN,LBC,LBCeq,pH,BaseSat,CEC,Ca,Cd,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,Pb,Zn,meanCO2,meanSM,meanT5
69,Y,Y,Control,High,Low,High,Low,10,,,,1416,4106.4,4.43,21.44979286,26.87057968,285.246,0.1032,0.3016,0.5952,1052.5317,194.9683,425.1667,4.2222,<0.06,67.7302,4.381,20.2619,1.1508,5.1905,,,
2,Y,Y,Trenched,High,Low,High,Low,20,0.252,3.824,15.17460317,1873,5431.7,4.5,15.69292708,32.21378594,364.4749,0.1254,0.4467,0.6113,1281.8025,130.1959,326.2304,12.4765,<0.06,41.5125,4.0125,18.6755,1.5361,5.6897,7.609285714,0.384091065,23.91485146
3,Y,Y,Trenched,High,Low,High,Low,20,0.238,6.613,27.78571429,1329,3854.1,4.32,16.11202622,24.62567049,325.9722,0.1058,0.2315,0.6151,619.8942,113.8426,234.1865,9.8148,<0.05,21.7063,3.5847,22.6323,0.6614,4.9868,13.82553673,0.242464455,24.23195523
4,Y,Y,Trenched,High,Low,High,Low,20,0.21,2.982,14.2,1672,4848.8,4.29,12.46032893,30.02124143,217.0102,0.0658,0.4898,0.6287,1251.0819,123.3626,256.8202,5.3363,<0.06,45.8187,3.7061,17.0614,3.0044,3.443,14.22715556,0.34154459,24.11982679
5,Y,N,Trenched,High,Low,Mid,Low,20,0.223,3.531,15.83408072,1567,4544.3,4.41,9.79820777,26.0964593,160.5477,0.058,0.3028,0.3222,517.0554,143.924,142.8479,4.6649,<0.05,44.8067,2.6224,13.4343,1.5206,2.0103,13.19417419,0.10651103,22.18423428
6,Y,N,Trenched,High,Low,Mid,Low,20,0.281,4.413,15.70462633,1813,5257.7,4.66,20.36704842,30.89931431,431.2218,0.1059,0.2895,0.5508,536.1017,205.7274,338.0085,12.1257,<0.06,182.3729,3.5311,24.8799,2.8531,3.6441,9.406189583,0.091367339,22.31301044
7,Y,N,Trenched,High,Low,Mid,Low,20,0.264,4.405,16.68560606,1230,3567,4.64,31.48935277,24.57463282,330.3322,<0.07,0.3156,0.5565,1120.49,166.5199,448.6047,6.0465,<0.07,441.9186,3.8206,19.2691,4.6844,2.4668,7.296376667,0.419623351,21.85673544
8,Y,N,Trenched,High,Low,Mid,Low,20,0.249,3.98,15.98393574,1259,3651.1,4.53,23.82182425,23.67664206,207.5487,<0.07,0.2192,0.4464,605.1136,135.4221,325.5032,2.1834,<0.07,354.8214,1.2825,30.2435,0.8766,2.0373,16.28393715,0.506187665,22.65684712
9,Y,N,Trenched,High,Low,Low,Low,20,0.308,6.016,19.53246753,1355,3929.5,4.33,8.600296416,22.95798474,131.2433,<0.05,0.3159,0.5175,762.0027,85.5847,111.0484,12.8898,<0.05,39.879,1.8078,30.047,0.7056,1.7204,7.10203,0.177858301,21.99465481
10,Y,N,Trenched,High,Low,Low,Low,20,0.16,4.11,25.6875,1357,3935.3,4.58,23.58506455,24.92556185,313.3802,<0.06,0.3476,0.6139,931.1834,140.3107,346.9896,5.2589,<0.06,243.9053,3.1509,23.1139,0.8802,3.5651,4.805151481,0.342894826,22.42666758
11,Y,N,Trenched,High,Low,Low,Low,20,,,,986,2859.4,4.41,10.63529172,16.5744311,143.3958,0.0527,0.3337,0.3396,725.363,63.671,94.6253,11.3876,<0.05,21.6101,1.8384,22.4824,2.1956,2.3946,9.480483333,0.199829577,21.99809563
12,Y,N,Trenched,High,Low,Low,Low,20,,,,1338,3880.2,4.59,26.56541685,25.46833276,374.0957,0.0684,0.3191,0.6003,1058.3587,166.4134,392.1657,5.6915,<0.06,276.1246,2.2948,26.8313,1.269,2.8267,3.816509444,0.203441804,22.97101209
13,Y,N,Trenched,Mid,Low,Mid,Low,20,0.234,3.415,14.59401709,1034,2998.6,4.35,22.28033217,20.44859486,221.069,0.1092,0.2874,0.3218,448.1494,136.2414,357.8391,3.4425,<0.05,27.4483,1.7931,16.2931,1.2299,3.546,8.138582222,0.28458289,22.32115345
14,Y,N,Trenched,Mid,Low,Mid,Low,20,0.336,6.196,18.44047619,1048,3039.2,4.27,24.40325455,21.95072275,250.6269,<0.06,0.1471,0.387,647.1749,145.3328,403.2198,2.0046,<0.06,85.2709,3.1347,16.8885,2.6548,3.8467,5.86123037,0.125756958,22.19443315
15,Y,N,Trenched,Mid,Low,Mid,Low,20,0.363,6.094,16.78787879,1200,3480,4.51,32.62341253,25.72169451,378.8907,0.0745,0.149,0.5546,1381.5563,191.755,603.1374,2.7566,<0.07,225.1738,2.856,19.6854,5.447,4.2964,5.824022963,0.155471685,22.44227415
16,Y,N,Trenched,Mid,Low,Mid,Low,20,0.333,6.536,19.62762763,889,2578.1,5.49,60.1164503,19.52148708,503.9755,0.0644,0.1289,0.625,765.5477,175.9149,708.2345,12.9253,<0.05,658.4278,3.7371,30.0966,1.5335,3.1765,5.885248148,0.21392018,22.66045537
17,Y,N,Trenched,Mid,Low,High,Low,20,0.143,2.749,19.22377622,1447,4196.3,4.44,11.30329689,24.22306044,163.5674,0.0702,0.2949,0.5758,1134.0941,110.8357,163.7008,2.8652,<0.06,62.514,3.0548,27.8933,1.4607,3.9817,6.19173375,0.614920781,23.848025
18,Y,N,Trenched,Mid,Low,High,Low,20,0.142,3.57,25.14084507,1300,3770,4.5,15.60262552,22.33481802,209.6065,0.0847,0.3632,0.5448,989.776,104.9818,247.3245,4.3886,<0.05,24.5097,2.609,29.207,2.5726,2.7966,9.480680952,0.298647383,23.78947654
19,Y,N,Trenched,Mid,Low,High,Low,20,0.253,4.415,17.45059289,1541,4468.9,4.47,21.99311849,28.98799896,357.3782,0.1136,0.3409,0.9091,1618.7581,140.3328,448.7419,8.1494,<0.07,112.5,7.5081,31.8182,2.3701,5.4951,7.078207083,0.343693716,23.68267814
20,Y,N,Trenched,Mid,Low,High,Low,20,0.211,3.765,17.8436019,1572,4558.8,4.41,22.75130197,30.56955599,465.9754,0.1311,0.2049,0.6393,515.1557,154.3033,495.418,29.2787,<0.07,23.2213,2.7787,25.4754,0.6885,5.9426,7.660017407,0.285554723,23.92061477
21,Y,N,Trenched,Mid,Low,Low,Low,20,0.17,2.48,14.58823529,916,2656.4,4.44,23.64353967,17.81220337,356.5476,0.1587,0.3175,0.8399,615.9722,94.8082,200.6812,65.9524,<0.05,118.0489,3.4458,31.4352,3.3664,3.4788,4.629164074,0.294878539,23.41573556
22,Y,N,Trenched,Mid,Low,Low,Low,20,0.259,4.366,16.85714286,1220,3538,4.51,25.7194566,23.71985878,445.2235,0.0993,0.3394,0.803,1120.2318,143.9652,351.0679,10.8113,<0.07,133.3526,2.5166,35.7781,2.2765,3.6921,5.034504074,0.253806856,21.92965032
23,Y,N,Trenched,Mid,Low,Low,Low,20,0.182,2.813,15.45604396,829,2404.1,4.37,18.51927552,15.51970246,204.8333,0.0617,0.321,0.4815,722.3642,78.6914,190.0123,18.9198,<0.05,14.8951,1.7778,27.2593,0.3704,1.7654,7.488125,0.126345237,22.30398121
24,Y,N,Trenched,Mid,Low,Low,Low,20,0.11,2.225,20.22727273,909,2636.1,4.52,17.57554869,15.86307921,191.4878,<0.04,0.2544,0.3042,762.594,76.4546,154.3805,11.5653,<0.04,80.0498,2.1847,20.7965,0.6858,1.7423,11.51814,0.2716226,21.9467914
25,Y,N,Trenched,Low,Low,Low,Low,20,0.05,1.014,20.28,730,2117,4.38,8.087972043,12.06923647,94.282,<0.04,0.3151,<0.21,621.5702,50.1756,40.563,25.3926,<0.04,8.7552,1.7304,18.8895,0.4804,1.2758,6.515497037,0.20739238,21.84170771
26,Y,N,Trenched,Low,Low,Low,Low,20,0.178,3.862,21.69662921,1016,2946.4,4.46,19.16462217,18.51628879,268.5397,<0.06,0.2619,0.5397,1075.6825,91.7302,176.4683,11.0556,<0.06,115.0238,2.9127,34.8333,1.1667,2.1746,6.66374,0.248588881,22.29864052
27,Y,N,Trenched,Low,Low,Low,Low,20,0.311,5.223,16.79421222,820,2378,4.8,48.54385384,20.33420841,575.7283,0.0787,<0.08,0.4724,722.6083,190.6004,631.7421,5.6201,<0.08,285,2.5591,51.5748,0.9843,2.9626,4.38875,0.194262229,22.7832696
28,Y,N,Trenched,Low,Low,Low,Low,20,0.1,1.914,19.14,1297,3761.3,4.37,11.07890661,22.24943177,277.6808,0.0935,0.2494,0.4302,818.0237,62.207,105.106,15.0374,<0.05,9.4763,2.1571,28.5973,2.3067,2.3067,5.10530963,0.217681766,21.68697457
29,Y,N,Trenched,Low,Low,High,Low,20,0.102,2.952,28.94117647,1010,2929,4.3,12.58168556,18.093005,108.3275,0.0587,0.4695,0.6338,1063.0634,74.0141,136.115,2.7406,<0.05,94.4601,1.6784,36.2148,1.0153,2.5059,4.620922083,0.389712626,23.57001052
30,Y,N,Trenched,Low,Low,High,Low,20,0.224,4.287,19.13839286,1590,4611,4.35,13.97104519,28.40706371,260.9207,0.1277,0.4032,0.6183,1691.5255,112.3925,270.9409,8.9583,0.0538,27.1707,4.5094,30.9879,0.8669,4.6707,7.863848095,0.246713471,23.97176927
31,Y,N,Trenched,Low,Low,High,Low,20,0.098,2.234,22.79591837,1180,3422,4.24,7.241743203,20.36416019,128.6202,0.0956,0.3484,0.5601,941.1202,59.9658,74.1052,6.6325,0.0615,13.873,2.8757,25.1913,1.7691,2.6708,6.972995,0.172376522,24.15238603
32,Y,N,Trenched,Low,Low,High,Low,20,0.359,7.459,20.77715877,1578,4576.2,4.51,23.61136776,29.83359609,446.7548,0.1603,0.3125,1.0577,1906.859,160.1042,507.9327,9.1186,<0.06,38.4215,3.9744,46.3381,0.8013,5.4968,8.3295125,0.375453328,23.64368529
33,Y,N,Trenched,Low,Low,Mid,Low,20,0.213,3.669,17.22535211,1072,3108.8,4.59,23.35251502,19.54978171,299.9292,0.1258,0.1572,0.4953,638.8836,109.2767,225.0708,19.945,<0.06,209.2846,2.6258,31.8632,1.1714,2.673,6.301941111,0.179832748,23.43862859
34,Y,N,Trenched,Low,Low,Mid,Low,20,0.102,1.629,15.97058824,1174,3404.6,4.42,18.43202005,21.53753962,168.6103,0.1208,0.3474,0.6269,712.5076,129.8187,215.4079,4.0332,<0.06,229.7281,2.568,33.6405,1.2991,2.4169,4.924797037,0.347275068,22.75158405
35,Y,N,Trenched,Low,Low,Mid,Low,20,0.097,1.93,19.89690722,907,2630.3,4.71,21.45701829,15.33781089,130.3856,<0.05,0.2828,0.2635,688.329,85.3792,164.2931,7.1594,<0.05,241.7481,3.554,21.7545,1.4139,1.3946,6.972566667,0.283366876,21.97312973
36,Y,N,Trenched,Low,Low,Mid,Low,20,0.15,3.037,20.24666667,1037,3007.3,4.52,21.49102876,18.99936754,179.2125,<0.06,0.3287,<0.31,530.4205,81.1621,205.6957,3.081,<0.06,290.9174,3.1116,27.6147,1.292,1.2691,9.449816611,0.337812523,22.28724837
37,N,Y,Trenched,High,Low,High,Mid,20,0.192,2.932,15.27083333,1528,4431.2,4.41,23.66250405,30.0685996,490.2201,0.0865,0.2987,0.5503,253.0425,211.3286,486.5409,8.4591,<0.06,15.5267,3.7343,22.1148,1.2107,4.033,9.03,0.34,21.9
38,N,Y,Trenched,High,Low,High,Mid,20,0.123,1.724,14.01626016,1374,3984.6,4.69,26.4454111,25.02746909,652.7964,0.1119,0.2461,0.5145,366.3647,167.321,345.4586,16.3926,<0.04,10.7606,2.6734,25.6264,1.1298,3.6465,7.24,0.263,22
39,N,Y,Trenched,High,Low,High,Mid,20,0.169,3.027,17.9112426,1196,3468.4,5.23,47.0572537,23.19134699,1027.5591,0.0656,0.1969,0.374,282.9134,194.521,627.3294,9.2848,<0.05,11.2467,2.9068,18.9304,1.4304,2.8543,8.3,0.245,22.6
40,N,Y,Trenched,High,Low,High,Mid,20,0.223,3.239,14.52466368,1124,3259.6,4.29,25.56075554,23.73349183,481.5554,<0.07,0.2524,0.8469,608.9169,214.0554,364.5114,8.4121,<0.07,16.6124,2.7117,31.0586,0.7248,2.8176,9.2,0.245,22.1
41,N,Y,Trenched,High,Low,High,High,20,0.241,4.326,17.95020747,1320,3828,4.85,30.03943319,23.52811126,735.7311,0.059,0.2005,0.342,450.2948,136.309,358.6144,15.5189,<0.05,11.7512,1.6922,11.8514,1.079,2.7064,,,
42,N,Y,Trenched,High,Low,High,High,20,0.248,3.704,14.93548387,1424,4129.6,4.93,31.82379598,25.07699607,854.7452,0.062,0.2273,0.3444,488.3058,143.7052,392.2107,9.208,<0.06,16.0606,1.4669,10.1102,0.8471,2.1625,,,
43,N,Y,Trenched,High,Low,High,High,20,0.385,6.249,16.23116883,1187,3442.3,4.74,33.76458665,23.49075096,809.5968,0.0806,0.2509,0.5018,1160.8692,181.4964,401.2634,8.4946,<0.07,17.0968,2.0251,13.6111,1.7204,3.3961,,,
44,N,Y,Trenched,High,Low,High,High,20,0.281,3.746,13.33096085,1644,4767.6,4.45,17.44083802,29.45131639,446.6645,0.0658,0.4211,0.375,669.4539,183.7566,285.6382,6.4934,<0.05,11.9013,2.2763,10.9803,20.3947,3.0921,,,
45,N,Y,Trenched,High,Mid,High,Mid,20,0.252,3.206,12.72222222,654,1896.6,5.12,61.01863074,18.29390844,1143.1799,0.103,0.1992,0.3434,104.3475,231.6484,575.989,28.0288,<0.06,12.1703,1.2225,15.5426,0.522,3.2212,7.9,0.291,22.9
46,N,Y,Trenched,High,Mid,High,Mid,20,0.208,2.817,13.54326923,888,2575.2,5.13,50.87353557,19.60500946,1013.0804,0.0893,0.1467,0.3253,100.4337,184.2921,524.9809,36.199,<0.05,14.0242,2.7487,14.5408,1.2309,4.1964,7.45,0.423,23.4
47,N,Y,Trenched,High,Mid,High,Mid,20,0.213,2.732,12.82629108,1153,3343.7,5.08,41.26565546,21.86081772,896.8943,0.0515,0.1869,0.451,115.741,210.0838,473.299,18.1443,<0.05,12.3518,1.6688,17.2294,1.2564,3.7629,6.7,0.432,22.4
48,N,Y,Trenched,High,Mid,High,Mid,20,0.127,1.511,11.8976378,1193,3459.7,5.38,48.84606508,21.91312949,1081.6757,0.0545,0.2316,<0.27,68.6104,196.267,567.827,19.5163,<0.05,13.842,1.3215,13.0654,0.3474,1.7779,3.93,0.51,21.4
49,N,Y,Trenched,High,Mid,High,Low,20,0.119,1.511,12.69747899,1625,4712.5,4.5,22.05748142,30.23061152,280.2022,0.0809,0.5863,0.8356,975.8423,165.8154,509.8518,4.5081,<0.05,136.4286,2.1765,26.3747,1.4016,5.6065,4.51,0.36,23.5
50,N,Y,Trenched,High,Mid,High,Low,20,0.122,1.513,12.40163934,1402,4065.8,4.51,16.8623703,24.35441577,228.262,0.1008,0.4282,0.7116,778.2305,122.6952,293.1612,8.6461,<0.05,47.796,2.2229,27.2355,0.8312,5.7809,4.48,0.471,23
51,N,Y,Trenched,High,Mid,High,Low,20,0.145,2.128,14.67586207,1484,4303.6,4.76,24.98113575,25.70037309,302.1849,0.077,0.3501,0.5392,476.9328,168.5714,446.4356,7.8571,<0.06,174.0616,3.4804,30.7773,1.2115,5.9734,3.32,0.321,21.7
52,N,Y,Trenched,High,Mid,High,Low,20,0.202,3.831,18.96534653,1623,4706.7,4.32,18.22972209,30.85217838,281.997,0.0686,0.6402,0.9527,1193.6204,152.3704,376.593,7.0579,<0.06,157.622,2.9726,29.9238,2.0427,4.7104,3.46,0.408,22.9
53,N,Y,Trenched,High,Mid,High,High,20,0.214,2.989,13.96728972,496,1438.4,5.58,72.47321737,14.84029592,1230.0821,0.1073,0.1515,0.3535,147.3043,177.3422,491.3131,64.6907,<0.05,12.8409,2.3485,12.2475,1.7045,3.9205,,,
54,N,Y,Trenched,High,Mid,High,High,20,0.188,2.454,13.05319149,922,2673.8,4.64,38.25825132,20.44052245,692.6957,0.087,0.2101,0.3986,180.1522,199.4348,453.1304,14.6812,<0.06,15.9275,2.2754,17.6884,1.6087,5.0072,,,
55,N,Y,Trenched,High,Mid,High,High,20,0.154,1.996,12.96103896,526,1525.4,5.04,58.47803491,14.40097545,881.3763,0.0645,0.1667,0.2634,133.172,151.8118,428.2688,36.5323,<0.04,12.9624,1.9785,10.1344,0.4194,2.5108,,,
56,N,Y,Trenched,High,Mid,High,High,20,0.17,2.04,12,1001,2902.9,4.74,39.00736643,21.512611,789.5569,0.0794,0.2116,0.3439,105.5093,198.5317,465.8069,14.2262,<0.05,12.1759,0.9987,14.213,0.9392,2.7712,,,
57,N,Y,Trenched,High,High,High,High,20,0.14,1.94,13.85714286,537,1557.3,5.48,64.69458558,13.40925203,951.1821,0.0956,0.1559,0.3119,114.0392,177.5553,410.3773,31.9215,<0.04,10.1358,0.8954,6.826,0.4879,2.7515,,,
58,N,Y,Trenched,High,High,High,High,20,0.24,3.39,14.125,678,1966.2,5.17,52.2573555,15.07309047,839.1588,<0.05,0.1353,2.1588,106.4647,151.7353,389.1647,24.4471,<0.05,11.2471,1.8176,9.9588,0.4824,3.4,,,
59,N,Y,Trenched,High,High,High,High,20,0.22,3.32,15.09090909,457,1325.3,5.65,74.90498665,14.259048,1225.1847,0.0923,0.1121,0.3958,141.2665,197.2493,480.6201,44.0237,<0.05,10.0923,2.0449,10.0594,0.9103,2.942,,,
60,N,Y,Trenched,High,High,High,High,20,0.15,2.7,18,913,2647.7,5.28,51.90249431,18.93671589,1073.4653,0.0928,0.1114,0.3156,85.3837,215.9901,463.0507,28.7562,<0.05,11.2067,2.7661,19.5235,0.7364,3.8923,,,
61,N,Y,Trenched,High,High,High,Low,20,0.175,3.036,17.34857143,1334,3868.6,4.55,20.91505327,23.96934029,355.6715,0.0731,0.2527,0.4588,481.9282,134.0027,326.5691,25.7513,<0.05,39.0625,3.6968,14.3484,1.4029,3.5838,,,
62,N,Y,Trenched,High,High,High,Low,20,0.215,4.117,19.14883721,1418,4112.2,4.59,20.39802613,24.89989009,315.3571,0.0857,0.4429,0.5929,872.0786,140.2143,330.2214,13.5429,<0.06,89.9143,3.15,17.9,0.9429,3.9571,,,
63,N,Y,Trenched,High,High,High,Low,20,0.24,4.164,17.35,1654,4796.6,4.74,19.14136313,26.81300705,329.1168,0.0611,0.3736,0.4891,918.4579,125.9035,329.9117,17.8804,<0.05,95.3804,1.7323,14.4837,0.6929,3.6141,,,
64,N,Y,Trenched,High,High,High,Low,20,0.185,2.518,13.61081081,1913,5547.7,4.55,16.03507387,32.37510143,346.4506,0.0772,0.4244,0.4938,867.1451,131.7052,351.9367,22.6157,<0.06,43.3796,4.5988,13.9738,8.5957,4.7068,,,
65,N,Y,Trenched,High,High,High,Mid,20,0.142,1.813,12.76760563,887,2572.3,5.27,50.63565354,18.02952665,943.1189,0.0546,0.176,0.2852,71.9235,198.4223,462.8823,10.54,<0.05,10.9587,1.5716,9.6299,0.5583,1.7718,,,
66,N,Y,Trenched,High,High,High,Mid,20,0.142,1.824,12.84507042,2479,7189.1,4.7,17.2348887,39.95628047,664.8848,0.0813,0.271,0.3591,138.1775,191.748,362.0528,18.4011,<0.05,12.2425,1.5921,15.4404,1.3482,3.6924,,,
67,N,Y,Trenched,High,High,High,Mid,20,0.125,1.605,12.84,1135,3291.5,5.21,39.38700391,19.4406658,825.4841,0.0456,0.1538,0.3645,76.5319,162.4431,368.6731,9.9544,<0.05,9.4021,1.3383,8.4169,0.4841,1.885,,,
68,N,Y,Trenched,High,High,High,Mid,20,0.161,2.239,13.9068323,1703,4938.7,4.66,22.23463835,29.72160806,683.8102,0.085,0.2833,0.3895,90.9986,206.8201,313.4278,8.8102,<0.06,10.864,1.8201,12.3088,2.6416,3.3428,,,
69,Y,Y,Control,High,Low,High,Low,20,,,,2086,6049.4,4.38,10.82668962,35.54747028,168.6128,0.0838,0.4192,0.3582,876.5854,145.0457,281.5549,1.6006,<0.06,66.0899,3.8567,14.3521,0.7774,3.5595,,,
